YEAR,COUNTRY,STATE/PROVINCE,SPECIES_CODE,COMMON_NAME,INVASIVE,TOTAL_COUNTED,AVERAGE_COUNTED,LOCATIONS
2000,US,MS,houfin,House Finch,0,573.0,4.006993006993007,27
2000,US,MS,haiwoo,Hairy Woodpecker,0,4.0,1.0,2
2000,US,MS,eursta,European Starling,1,85.0,4.722222222222222,7
2000,US,MS,easblu,Eastern Bluebird,0,56.0,2.6666666666666665,11
2000,US,MS,dowwoo,Downy Woodpecker,0,57.0,1.2666666666666666,17
2000,US,FL,bkcchi,Black-capped Chickadee,0,36.0,1.7142857142857142,7
2000,US,MS,rehwoo,Red-headed Woodpecker,0,1.0,1.0,1
2000,US,FL,eursta,European Starling,1,356.0,9.368421052631579,18
2000,US,FL,haiwoo,Hairy Woodpecker,0,18.0,1.2,7
2000,US,CT,bkcchi,Black-capped Chickadee,0,6127.0,3.1292134831460676,329
2000,CA,PE,brncre,Brown Creeper,0,2.0,1.0,1
2000,CA,PE,dowwoo,Downy Woodpecker,0,78.0,1.625,11
2000,CA,PE,eursta,European Starling,1,643.0,16.075,13
2000,CA,PE,haiwoo,Hairy Woodpecker,0,52.0,1.4054054054054055,10
2000,CA,PE,houspa,House Sparrow,1,8.0,1.3333333333333333,3
2000,CA,PE,norfli,Northern Flicker,0,19.0,1.4615384615384615,4
2000,US,FL,houfin,House Finch,0,339.0,3.4591836734693877,26
2000,US,FL,houspa,House Sparrow,1,1001.0,6.217391304347826,41
2000,US,FL,houwre,House Wren,0,1.0,1.0,1
2000,CA,NB,dowwoo,Downy Woodpecker,0,247.0,1.4529411764705882,36
2000,US,CT,dowwoo,Downy Woodpecker,0,3329.0,1.8556298773690079,315
2000,CA,YT,dowwoo,Downy Woodpecker,0,1.0,1.0,1
2000,CA,YT,borchi2,Boreal Chickadee,0,15.0,2.142857142857143,2
2000,CA,YT,bkcchi,Black-capped Chickadee,0,54.0,4.153846153846154,2
2000,CA,PE,rebwoo,Red-bellied Woodpecker,0,4.0,2.0,1
2000,CA,PE,rehwoo,Red-headed Woodpecker,0,2.0,2.0,1
2000,US,AL,bkcchi,Black-capped Chickadee,0,83.0,3.1923076923076925,11
2000,US,AL,bnhnut,Brown-headed Nuthatch,0,261.0,1.728476821192053,33
2000,US,AL,brncre,Brown Creeper,0,26.0,1.0,11
2000,CA,PE,whbnut,White-breasted Nuthatch,0,3.0,1.0,1
2000,CA,YT,haiwoo,Hairy Woodpecker,0,4.0,1.3333333333333333,1
2000,CA,NB,carwre,Carolina Wren,0,3.0,1.0,1
2000,CA,NB,brncre,Brown Creeper,0,2.0,1.0,2
2000,CA,NB,borchi2,Boreal Chickadee,0,23.0,2.3,6
2000,US,UT,bkcchi,Black-capped Chickadee,0,621.0,2.5346938775510206,44
2000,US,UT,borchi2,Boreal Chickadee,0,2.0,1.0,2
2000,US,UT,brncre,Brown Creeper,0,8.0,1.3333333333333333,5
2000,US,UT,dowwoo,Downy Woodpecker,0,72.0,1.309090909090909,23
2000,US,UT,eursta,European Starling,1,1535.0,11.9921875,34
